Date,EWU
2005-07-4,1145.673
2005-07-5,1142.081
2005-07-6,1153.423
2005-07-7,1126.868
2005-07-8,1139.836
2005-07-11,1154.857
2005-07-12,1160.342
2005-07-13,1154.165
2005-07-14,1160.655
2005-07-15,1149.569
2005-07-18,1143.450
2005-07-19,1131.458
2005-07-20,1128.958
2005-07-21,1141.183
2005-07-22,1143.419
2005-07-25,1150.041
2005-07-26,1145.384
2005-07-27,1148.407
2005-07-28,1155.915
2005-07-29,1164.204
2005-08-1,1172.568
2005-08-2,1180.567
2005-08-3,1188.168
2005-08-4,1183.598
2005-08-5,1180.798
2005-08-8,1194.669
2005-08-9,1196.651
2005-08-10,1207.696
2005-08-11,1210.939
2005-08-12,1212.150
2005-08-15,1207.802
